city,city_code,province,tier_group,tier_label,ntl_growth_rate,gdp_growth_rate,population_growth_rate,growth_intensity,growth_efficiency,coordination_index,edu_count,medical_count,commercial_count,support_index
商丘市,"411000000000",河南省,T3,Third-tier Cities,2.7274,1.0316,0.0855,1.2815,12.0654970760234,0.257,"0","0","2","0.366204096222703"
商洛市,"611000000000",陕西省,T3,Third-tier Cities,2.6936,1.054,-0.0032,1.24813333333333,,0.257,"0","0","0","0"
喀什地区,"653000000000",新疆维吾尔自治区,T3,Third-tier Cities,0.8925,,,,,,"1","6","94","2.39764474040527"
嘉兴市,"330000000000",浙江省,T3,Third-tier Cities,3.6527,1.3197,0.0885,1.68696666666667,14.9118644067797,0.2028,"8","10","253","3.37748470571771"
嘉峪关市,"620000000000",甘肃省,T3,Third-tier Cities,-0.074,0.3471,0.0606,0.111233333333333,5.72772277227723,0.6795,"3","5","24","2.13230988507205"
四平市,"220000000000",吉林省,T3,Third-tier Cities,0.2215,-0.0826,-0.3785,-0.0798666666666667,0.218229854689564,0.6239,"0","0","10","0.799298424266124"
固原市,"640000000000",宁夏回族自治区,T3,Third-tier Cities,0.8952,1.5855,-0.0532,0.809166666666667,-29.8026315789474,0.367,"2","4","61","2.2783948620491"
塔城地区,"654000000000",新疆维吾尔自治区,T3,Third-tier Cities,4.685,,,,,,"0","0","2","0.366204096222703"
大兴安岭地区,"233000000000",黑龙江省,T3,Third-tier Cities,-0.1932,,,,,,"0","0","0","0"
大同市,"140000000000",山西省,T3,Third-tier Cities,0.2512,1.0484,-0.0106,0.429666666666667,,0.4469,"0","11","97","2.35662470948619"
大庆市,"231000000000",黑龙江省,T3,Third-tier Cities,-0.351,-0.2606,-0.0661,-0.2259,3.94251134644478,0.7578,"16","2","29","2.44434100479549"
大理白族自治州,"533000000000",云南省,T3,Third-tier Cities,0.4009,,,,,,"34","38","532","4.49914371059497"
大连市,"210000000000",辽宁省,T2,Second-tier Cities,0.2465,0.8646,0.0317,0.380933333333333,27.2744479495268,0.5083,"29","24","454","4.24679020849377"
天水市,"621000000000",甘肃省,T3,Third-tier Cities,2.1925,1.1033,-0.0125,1.09443333333333,,0.3112,"31","12","117","3.60045662824231"
