city,city_code,province,tier_group,tier_label,year,ntl_value,ntl_index,gdp_value,gdp_index,population_value,population_index
淮北市,"341000000000",安徽省,T3,Third-tier Cities,"2013",5851,187.95,7204341,113.25,214.5,98.26
淮北市,"341000000000",安徽省,T3,Third-tier Cities,"2014",5532,177.71,7702843,121.08,215.3,98.63
淮北市,"341000000000",安徽省,T3,Third-tier Cities,"2015",5309,170.54,7746412,121.77,216.5,99.18
淮北市,"341000000000",安徽省,T3,Third-tier Cities,"2016",5595,179.73,8230914,129.39,217,99.4
淮北市,"341000000000",安徽省,T3,Third-tier Cities,"2017",6807,218.66,9429129,148.22,217,99.4
淮北市,"341000000000",安徽省,T3,Third-tier Cities,"2018",7758,249.21,10095375,158.69,218,99.86
淮北市,"341000000000",安徽省,T3,Third-tier Cities,"2019",8254,265.15,10779411,169.45,219,100.32
淮北市,"341000000000",安徽省,T3,Third-tier Cities,"2020",9537,306.36,11190691,175.91,0,0
淮北市,"341000000000",安徽省,T3,Third-tier Cities,"2021",10987,352.94,12230433,192.26,219,100.32
淮北市,"341000000000",安徽省,T3,Third-tier Cities,"2022",9391,301.67,13027902,204.79,218,99.86
淮南市,"340000000000",安徽省,T3,Third-tier Cities,"2012",2450,100,8932635,100,243.8,100
淮南市,"340000000000",安徽省,T3,Third-tier Cities,"2013",4588,187.27,9415704,105.41,243.3,99.79
淮南市,"340000000000",安徽省,T3,Third-tier Cities,"2014",4767,194.57,9289141,103.99,243.4,99.84
淮南市,"340000000000",安徽省,T3,Third-tier Cities,"2015",4915,200.61,9173638,102.7,383.39,157.26
淮南市,"340000000000",安徽省,T3,Third-tier Cities,"2016",5360,218.78,9794647,109.65,389,159.56
淮南市,"340000000000",安徽省,T3,Third-tier Cities,"2017",6231,254.33,10860399,121.58,390,159.97
淮南市,"340000000000",安徽省,T3,Third-tier Cities,"2018",6532,266.61,11971029,134.01,390,159.97
淮南市,"340000000000",安徽省,T3,Third-tier Cities,"2019",6699,273.43,12832113,143.65,391,160.38
淮南市,"340000000000",安徽省,T3,Third-tier Cities,"2020",6487,264.78,13386000,149.85,0,0
淮南市,"340000000000",安徽省,T3,Third-tier Cities,"2021",6021,245.76,14635000,163.84,390,159.97
淮南市,"340000000000",安徽省,T3,Third-tier Cities,"2022",6462,263.76,15670000,175.42,388,159.15
淮安市,"321000000000",江苏省,T3,Third-tier Cities,"2012",5796,100,19359300,100,546.8,100
淮安市,"321000000000",江苏省,T3,Third-tier Cities,"2013",11579,199.78,22349900,115.45,553,101.13
淮安市,"321000000000",江苏省,T3,Third-tier Cities,"2014",12098,208.73,24784300,128.02,560.3,102.47
淮安市,"321000000000",江苏省,T3,Third-tier Cities,"2015",11694,201.76,27555800,142.34,564.45,103.23
淮安市,"321000000000",江苏省,T3,Third-tier Cities,"2016",12092,208.63,30908600,159.66,568,103.88
淮安市,"321000000000",江苏省,T3,Third-tier Cities,"2017",14042,242.27,33416100,172.61,561,102.6
