year,city,population,corridor_id,corridor_nm,node_type
"2014",上海市,"1438.7",HNH,Shanghai-Nanjing-Hangzhou,core
"2015",上海市,"1442.97",HNH,Shanghai-Nanjing-Hangzhou,core
"2016",上海市,"1450",HNH,Shanghai-Nanjing-Hangzhou,core
"2017",上海市,"1455",HNH,Shanghai-Nanjing-Hangzhou,core
"2018",上海市,"1462",HNH,Shanghai-Nanjing-Hangzhou,core
"2019",上海市,"1469",HNH,Shanghai-Nanjing-Hangzhou,core
"2020",上海市,,HNH,Shanghai-Nanjing-Hangzhou,core
"2021",上海市,"1493",HNH,Shanghai-Nanjing-Hangzhou,core
"2022",上海市,"1504",HNH,Shanghai-Nanjing-Hangzhou,core
"2012",南京市,"638.5",HNH,Shanghai-Nanjing-Hangzhou,core
"2013",南京市,"643.1",HNH,Shanghai-Nanjing-Hangzhou,core
"2014",南京市,"648.7",HNH,Shanghai-Nanjing-Hangzhou,core
"2015",南京市,"653.4",HNH,Shanghai-Nanjing-Hangzhou,core
"2016",南京市,"663",HNH,Shanghai-Nanjing-Hangzhou,core
"2017",南京市,"681",HNH,Shanghai-Nanjing-Hangzhou,core
"2018",南京市,"697",HNH,Shanghai-Nanjing-Hangzhou,core
"2019",南京市,"710",HNH,Shanghai-Nanjing-Hangzhou,core
"2020",南京市,,HNH,Shanghai-Nanjing-Hangzhou,core
"2021",南京市,"734",HNH,Shanghai-Nanjing-Hangzhou,core
"2022",南京市,"739",HNH,Shanghai-Nanjing-Hangzhou,core
"2012",无锡市,"470.1",HNH,Shanghai-Nanjing-Hangzhou,middle
"2013",无锡市,"472.2",HNH,Shanghai-Nanjing-Hangzhou,middle
"2014",无锡市,"477.1",HNH,Shanghai-Nanjing-Hangzhou,middle
"2015",无锡市,"480.9",HNH,Shanghai-Nanjing-Hangzhou,middle
"2016",无锡市,"486",HNH,Shanghai-Nanjing-Hangzhou,middle
"2017",无锡市,"493",HNH,Shanghai-Nanjing-Hangzhou,middle
"2018",无锡市,"497",HNH,Shanghai-Nanjing-Hangzhou,middle
"2019",无锡市,"503",HNH,Shanghai-Nanjing-Hangzhou,middle
"2020",无锡市,,HNH,Shanghai-Nanjing-Hangzhou,middle
"2021",无锡市,"515",HNH,Shanghai-Nanjing-Hangzhou,middle
"2022",无锡市,"519",HNH,Shanghai-Nanjing-Hangzhou,middle
"2012",常州市,"364.8",HNH,Shanghai-Nanjing-Hangzhou,middle
"2013",常州市,"365.9",HNH,Shanghai-Nanjing-Hangzhou,middle
"2014",常州市,"368.6",HNH,Shanghai-Nanjing-Hangzhou,middle
"2015",常州市,"370.85",HNH,Shanghai-Nanjing-Hangzhou,middle
"2016",常州市,"375",HNH,Shanghai-Nanjing-Hangzhou,middle
"2017",常州市,"379",HNH,Shanghai-Nanjing-Hangzhou,middle
"2018",常州市,"382",HNH,Shanghai-Nanjing-Hangzhou,middle
"2019",常州市,"385",HNH,Shanghai-Nanjing-Hangzhou,middle
"2020",常州市,,HNH,Shanghai-Nanjing-Hangzhou,middle
"2021",常州市,"388",HNH,Shanghai-Nanjing-Hangzhou,middle
"2022",常州市,"389",HNH,Shanghai-Nanjing-Hangzhou,middle
"2012",苏州市,"647.8",HNH,Shanghai-Nanjing-Hangzhou,core
"2013",苏州市,"653.8",HNH,Shanghai-Nanjing-Hangzhou,core
"2014",苏州市,"661.1",HNH,Shanghai-Nanjing-Hangzhou,core
"2015",苏州市,"667.01",HNH,Shanghai-Nanjing-Hangzhou,core
"2016",苏州市,"678",HNH,Shanghai-Nanjing-Hangzhou,core
"2017",苏州市,"691",HNH,Shanghai-Nanjing-Hangzhou,core
"2018",苏州市,"704",HNH,Shanghai-Nanjing-Hangzhou,core
